Clave, Descripción,EXISTENCIAS GENERALES
REDC34,"REDUCCION CPVC 3/4""-1/2""",0
REDP479,"REDUCCION PVC 2"" A 1 1/2""",106
REDP434,"REDUCCION PVC 3""-2""",220
REDP433,"REDUCCION PVC 4""-2""",172
REDP431,"REDUCCION PVC 4""-3""",237
REDP432,"REDUCCION PVC 6""-4""",213
REGR039,REGISTRO  40*60,144
REGISS/C,REGISTRO 40*60 COLADO S/N COLADERA,112
REGIS,REGISTRO 60*40 COLADO CON COLADERA,5
RETE346,RETIRO DE ESCOMBRO,3
SEGU270,SEGUETA ESTANDAR,203
SEÑALITICA4,SEÑALITICA DE BOTIQUIN 25X35,203
SEÑALITICA1,SEÑALITICA DE SALIDA DE EMERGENCIA 20X40,0
SEÑALITICA3,SEÑALITICA DE SISMO 35X40,0
SEÑALITICA6,SEÑALITICA EMERGENCIA 911 20X28,0
SEÑALITICA7,SEÑALITICA PRECAUCION CAIDA A DESNIVEL 20X28,0
SEÑALITICA2,SEÑALITICA PUNTO DE REUNION 35X50,0
SEÑALITICA5,SEÑALITICA RIESGO ELECTRICO ALTA TENSION 35X50,0
SONT15,SONOTUBO 15 CM,5
SONT25,SONOTUBO 25 CM,7
SONT30,SONOTUBO 30 CM,3
SONT35,SONOTUBO 35 CM,6
TAB668,TABLA 10 CM (MAS IVA),169
TAB669,TABLA 15 CM (MAS IVA),567
TABL588,TABLA 20CM (MAS IVA),820
TABM511,TABLA 25CM (MAS IVA),560
TABM512,TABLA 30CM (MAS IVA),325
TAMBO,TAMBO DE ACERO 200 LTS,192
CURACR,TAMBO DE CURACRETO 200 LTS,10
TAP50041,TAPA ALJIBE 50X50,16
TAP60040,TAPA ALJIBE 60X60,25
TPLUS149,"TAPON 20MM 1/2"" TUBOPLUS",9
TPLUS150,"TAPON 25MM 3/4"" TUBOPLUS",0
TPLUS151,"TAPON 32MM 1"" TUBOPLUS",0
TAPC489,"TAPON CPVC 1""",1
TAPC491,"TAPON CPVC 1/2""",58
TAPC490,"TAPON CPVC 3/4""",141
TAPP488,"TAPON PVC 1 1/2""",141
TAPP487,"TAPON PVC 2""",142
TAPP597,"TAPON PVC 3""",157
TAPP486,"TAPON PVC 4""",192
TAPP485,"TAPON PVC 6""",145
TEEC143,"TEE CPVC 1""",25
TEEC88,"TEE CPVC 1"" CON SALIDA 1/2""",10
TEEC145,"TEE CPVC 1/2""",42
TEEC144,"TEE CPVC 3/4""",70
TEC200,"TEE CPVC 3/4"" CON SALIDA 1/2""",59
TPLUS049,"TEE DE 25MM 1/2"" TUBOPLUS",21
TPLUS050,"TEE DE 25MM 3/4"" TUBOPLUS",0
TPLUS051,"TEE DE 32MM 1"" TUBOPLUS",0
